,Movie Name,Movie Released Year,Movie overview,Movie Cast
0,The Flash,2023,"Barry Allen uses his super speed to change the past, but his attempt to save his family creates a world without super heroes, forcing him to race for his life in order to save the future.","['Ezra Miller', 'Michael Keaton', 'Sasha Calle', 'Michael Shannon', 'Ron Livingston', 'Maribel Verdú', 'Kiersey Clemons', 'Jeremy Irons', 'Antje Traue', 'Saoirse-Monica Jackson', 'Rudy Mancuso', 'Temuera Morrison', 'Sanjeev Bhaskar', 'Sean Rogers', 'Kieran Hodgson', 'Luke Brandon Field', 'Ian Loh', 'Karl Collins']"
1,Spider-man: Across the Spider-verse,2023,"Miles Morales catapults across the Multiverse, where he encounters a team of Spider-People charged with protecting its very existence. When the heroes clash on how to handle a new threat, Miles must redefine what it means to be a hero.","['Shameik Moore', 'Hailee Steinfeld', 'Brian Tyree Henry', 'Luna Lauren Velez', 'Jake Johnson', 'Oscar Isaac', 'Jason Schwartzman', 'Issa Rae', 'Daniel Kaluuya', 'Karan Soni', 'Shea Whigham', 'Greta Lee', 'Mahershala Ali', 'Amandla Stenberg', 'Jharrel Jerome', 'Andy Samberg', 'Jack Quaid', 'Rachel Dratch']"
2,Transformers: Rise of the Beasts,2023,"During the '90s, a new faction of Transformers - the Maximals - join the Autobots as allies in the battle for Earth.","['Anthony Ramos', 'Dominique Fishback', 'Luna Lauren Velez', 'Dean Scott Vazquez', 'Tobe Nwigwe', 'Sarah Stiles', 'Leni Parker', 'Frank Marrs', 'Aidan Devine', 'Kerwin Jackson', 'Mike Chute', 'Tyler Hall', 'Sean Tucker', 'Jay Farrar', 'Lucas Huarancca', 'Amiel Cayo', 'Santusa Cupita', 'Yesenia Iquillay']"
3,Avatar: The Way of Water,2023,"Jake Sully lives with his newfound family formed on the extrasolar moon Pandora. Once a familiar threat returns to finish what was previously started, Jake must work with Neytiri and the army of the Na'vi race to protect their home.","['Sam Worthington', 'Zoe Saldana', 'Sigourney Weaver', 'Stephen Lang', 'Kate Winslet', 'Cliff Curtis', 'Joel David Moore', 'CCH Pounder', 'Edie Falco', 'Brendan Cowell', 'Jemaine Clement', 'Jamie Flatters', 'Britain Dalton', 'Trinity Jo-Li Bliss', 'Jack Champion', 'Bailey Bass', 'Filip Geljo', 'Duane Evans Jr.']"
4,The Little Mermaid,2023,A young mermaid makes a deal with a sea witch to trade her beautiful voice for human legs so she can discover the world above water and impress a prince.,"['Halle Bailey', 'Jonah Hauer-King', 'Melissa McCarthy', 'Javier Bardem', 'Noma Dumezweni', 'Art Malik', 'Daveed Diggs', 'Jacob Tremblay', 'Awkwafina', 'Jessica Alexander', 'Martina Laird', 'Emily Coates', 'Christopher Fairbank', 'John Dagleish', 'Matthew Carver', 'Jude Akuwudike', 'Lorena Andrea', 'Simone Ashley']"
5,Extraction II,2023,"After barely surviving his grievous wounds from his mission in Dhaka, Bangladesh, Tyler Rake is back, and his team is ready to take on their next mission.","['Chris Hemsworth', 'Golshifteh Farahani', 'Adam Bessa', 'Tornike Gogrichiani', 'Demetre Kavelashvili', 'Tornike Bziava', 'Giga Shavadze', 'Tinatin Dalakishvili', 'Andro Japaridze', 'Mariami Kovziashvili', 'Marta Kovziashvili', 'Dato Bakhtadze', 'Davit Chogovadze', 'Daniel Bernhardt', 'Irakli Kvirikadze', 'Levan Saginashvili', 'Megan Anderson', 'George Lasha']"
6,Fast X,2023,Dom Toretto and his family are targeted by the vengeful son of drug kingpin Hernan Reyes.,"['Vin Diesel', 'Michelle Rodriguez', 'Jason Statham', 'Jordana Brewster', 'Tyrese Gibson', 'Ludacris', 'Nathalie Emmanuel', 'Charlize Theron', 'John Cena', 'Sung Kang', 'Helen Mirren', 'Brie Larson', 'Scott Eastwood', 'Jason Momoa', 'Alan Ritchson', 'Luis Da Silva Jr.', 'Daniela Melchior', 'Leo Abelo Perry']"
7,Asteroid City,2023,"Following a writer on his world famous fictional play about a grieving father who travels with his tech-obsessed family to small rural Asteroid City to compete in a stargazing event, only to have his world view disrupted forever.","['Jason Schwartzman', 'Scarlett Johansson', 'Tom Hanks', 'Jeffrey Wright', 'Bryan Cranston', 'Edward Norton', 'Jake Ryan', 'Grace Edwards', 'Maya Hawke', 'Rupert Friend', 'Hope Davis', 'Steve Park', 'Liev Schreiber', 'Aristou Meehan', 'Ethan Josh Lee', 'Sophia Lillis', 'Ella Faris', 'Gracie Faris']"
8,Spider-Man: Into the Spider-Verse,2023,Teen Miles Morales becomes the Spider-Man of his universe and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.,"['Shameik Moore', 'Jake Johnson', 'Hailee Steinfeld', 'Mahershala Ali', 'Brian Tyree Henry', 'Lily Tomlin', 'Luna Lauren Velez', 'Zoë Kravitz', 'John Mulaney', 'Kimiko Glenn', 'Nicolas Cage', 'Kathryn Hahn', 'Liev Schreiber', 'Chris Pine', 'Natalie Morales', 'Edwin R. Habacon', 'Oscar Isaac', 'Greta Lee']"
9,John Wick: Chapter 4,2023,"John Wick uncovers a path to defeating The High Table. But before he can earn his freedom, Wick must face off against a new enemy with powerful alliances across the globe and forces that turn old friends into foes.","['Keanu Reeves', 'Laurence Fishburne', 'George Georgiou', 'Lance Reddick', 'Clancy Brown', 'Ian McShane', 'Marko Zaror', 'Bill Skarsgård', 'Donnie Yen', 'Aimée Kwan', 'Hiroyuki Sanada', 'Shamier Anderson', 'Rina Sawayama', 'Yoshinori Tashiro', 'Hiroki Sumi', 'Daiki Suzuki', 'Julia Asuka Riedl', 'Milena Rendón']"
10,Flamin' Hot,2023,"This is the inspiring ""true"" story of Richard Montañez who, as a Frito Lay janitor, disrupted the food industry by channeling his Mexican heritage to turn Flamin' Hot Cheetos from a snack into an iconic global pop culture phenomenon.","['Jesse Garcia', 'Annie Gonzalez', 'Emilio Rivera', 'Vanessa Martinez', 'Dennis Haysbert', 'Tony Shalhoub', 'Pepe Serna', 'Bobby Soto', 'Jimmy Gonzales', 'Matt Walsh', 'Carlos S. Sanchez', 'Hunter Jones', 'Carlos Solórzano', 'Brice Gonzalez', 'Jayde Martinez', 'Fabian Alomar', 'Mario Ponce', 'Eric Marq']"
11,Indiana Jones and the Dial of Destiny,2023,Archaeologist Indiana Jones races against time to retrieve a legendary artifact that can change the course of history.,"['Harrison Ford', 'Karen Allen', 'Phoebe Waller-Bridge', 'Mads Mikkelsen', 'Boyd Holbrook', 'Antonio Banderas', 'John Rhys-Davies', 'Toby Jones', 'Billy Postlethwaite', 'Olivier Richters', 'Thomas Kretschmann', 'Jill Winternitz', 'Henry Garrett', 'Shaunette Renée Wilson', 'Alaa Safi', 'Mark Killeen', 'Ethann Isidore', 'Anthony Ingruber']"
12,Elemental,2023,"Follows Ember and Wade, in a city where fire-, water-, land- and air-residents live together.","['Leah Lewis', 'Mamoudou Athie', 'Ronnie Del Carmen', 'Shila Ommi', 'Wendi McLendon-Covey', ""Catherine O'Hara"", 'Mason Wertheimer', 'Ronobir Lahiri', 'Wilma Bonet', 'Joe Pera', 'Matthew Yang King', 'Clara Lin Ding', 'Reagan To', 'Jeff LaPensee', 'Ben Morris', 'Jonathan Adams', 'Alex Kapp', 'P.L. Brown']"
13,Guardians of the Galaxy Vol. 3,2023,"Still reeling from the loss of Gamora, Peter Quill rallies his team to defend the universe and one of their own - a mission that could mean the end of the Guardians if not successful.","['Chris Pratt', 'Chukwudi Iwuji', 'Bradley Cooper', 'Pom Klementieff', 'Dave Bautista', 'Karen Gillan', 'Vin Diesel', 'Austin Freeman', 'Stephen Blackehart', 'Terence Rosemore', 'Maria Bakalova', 'Sean Gunn', 'Sarah Alami', 'Jasmine Munoz', 'Giovannie Cruz', 'Will Poulter', 'Nico Santos', 'Miriam Shor']"
14,The Super Mario Bros. Movie,2023,"A plumber named Mario travels through an underground labyrinth with his brother, Luigi, trying to save a captured princess.","['Chris Pratt', 'Anya Taylor-Joy', 'Charlie Day', 'Jack Black', 'Kevin Michael Richardson', 'Khary Payton', 'Charles Martinet', 'Sebastian Maniscalco', 'Rino Romano', 'John DiMaggio', 'Jessica DiCicco', 'Keegan-Michael Key', 'Eric Bauza', 'Fred Armisen', 'Seth Rogen', 'Juliet Jelenic', 'Scott Menville', 'Carlos Alazraqui']"
15,No Hard Feelings,2023,"On the brink of losing her home, Maddie finds an intriguing job listing: helicopter parents looking for someone to bring their introverted 19-year-old son out of his shell before college. She has one summer to make him a man or die trying.","['Jennifer Lawrence', 'Andrew Barth Feldman', 'Laura Benanti', 'Matthew Broderick', 'Natalie Morales', 'Scott MacArthur', 'Ebon Moss-Bachrach', 'Kyle Mooney', 'Hasan Minhaj', 'Jordan Mendoza', 'Amalia Yoo', 'Alysia Joy Powell', 'Quincy Dunn-Baker', 'Matthew Noszka', 'Zahn McClarnon', 'Madison Odenborg', 'Christian Galvis', 'Matt Walton']"
16,Poor Things,2023,"The incredible tale and fantastical evolution of Bella Bax, a young woman brought back to life by the brilliant and unorthodox scientist, Dr. Godwin Baxter.","['Emma Stone', 'Mark Ruffalo', 'Ramy Youssef', 'Willem Dafoe', 'Kathryn Hunter', 'Christopher Abbott', 'Jerrod Carmichael', 'Suzy Bemba', 'Margaret Qualley', 'John Locke', 'Charlie Hiscock', 'Damien Bonnard', 'Jack Barton', 'Vivienne Soan', 'Jeremy Wheeler', 'Wayne Brett', 'Miles Jovian', 'Andrew Hefler']"
